index,city,Lat,Lon,max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
417,Laas,46.6166,10.7002,22.01,93.0,99.0,1.81,IT,1627492619.0
61,Vardø,70.3705,31.1107,9.11,93.0,75.0,2.57,NO,1627492573.0
242,Omsukchan,62.5333,155.8,4.62,93.0,100.0,1.71,RU,1627492597.0
368,Tura,25.5198,90.2201,23.81,93.0,91.0,3.69,IN,1627492613.0
159,Okhotsk,59.3833,143.3,12.62,93.0,99.0,3.81,RU,1627492587.0
330,Mariehamn,60.0973,19.9348,19.92,94.0,20.0,2.57,AX,1627492584.0
185,Yambio,4.5721,28.3955,20.89,94.0,41.0,1.26,SS,1627492590.0
304,Dikson,73.5069,80.5464,3.29,94.0,74.0,5.89,RU,1627492328.0
245,Pangody,65.85,74.4859,9.68,94.0,86.0,2.3,RU,1627492597.0
265,Fairbanks,64.8378,-147.7164,14.22,94.0,90.0,2.57,US,1627492600.0
49,Avarua,-21.2078,-159.775,20.03,94.0,33.0,1.03,CK,1627492571.0
550,Manado,1.487,124.8455,25.43,94.0,20.0,1.03,ID,1627492639.0
549,Mudgere,13.1333,75.6333,18.74,94.0,97.0,2.42,IN,1627492639.0
548,Seoul,37.5683,126.9778,26.69,94.0,78.0,0.51,KR,1627492540.0
241,Kendari,-3.945,122.4989,23.64,94.0,45.0,1.44,ID,1627492597.0
81,Belyy Yar,53.6039,91.3903,12.94,94.0,0.0,2.0,RU,1627492576.0
77,Yar-Sale,66.8333,70.8333,7.6,94.0,76.0,2.26,RU,1627492576.0
121,Arraial do Cabo,-22.9661,-42.0278,22.98,94.0,90.0,5.66,BR,1627492582.0
125,Ryazanovskiy,55.55,39.4333,16.55,94.0,100.0,1.57,RU,1627492583.0
192,Rauma,61.1272,21.5113,19.02,95.0,100.0,5.2,FI,1627492591.0
578,Esso,55.9333,158.7,12.33,95.0,72.0,1.09,RU,1627492642.0
